firstname	gender	cnt
Dwight	m	32
Dylan	m	5124
Dylane	m	17
Dylan James	m	11
Dylann	m	41
Dylen	m	23
Dyllan	m	15
Dyson	m	11
Eamon	m	15
Earl	m	11
Eason	m	19
Easton	m	47
Eaven	m	13
Eben	m	16
Ebenezer	m	11
Ebrahim	m	14
Ed	m	12
Edan	m	48
Eddie	m	99
Eddy	m	307
Edem	m	14
Eden	m	408
Edens	m	13
Eder	m	15
Ederson	m	11
Edgar	m	463
Edgard	m	32
Edgardo	m	11
Edi	m	11
Edin	m	19
Edison	m	67
Edmond	m	442
Edmund	m	31
Edouard	m	6935
Edouardo	m	16
Edric	m	25
Edrick	m	46
Edrik	m	11
Edris	m	19
Edson	m	40
Eduard	m	62
Eduardo	m	190
Eduardo Antonio	m	12
Eduardo Jose	m	13
Edward	m	1354
Edwin	m	230
Edy	m	14
Efraim	m	28
Efstathios	m	13
Efstratios	m	15
Egor	m	41
Ehab	m	12
Ehan	m	12
Ehsan	m	33
Eiden	m	19
Eitan	m	36
Eithan	m	13
Elan	m	22
Elazar	m	14
Elchonon	m	15
Eldon	m	13
Eleftherios	m	21
Eleni	m	18
Elham	m	20
Eli	m	2151
Elia	m	58
Eliah	m	13
Eliakim	m	52
Eliam	m	445
Elian	m	77
Eliane	m	13
Elias	m	1466
Elie	m	1864
Eliel	m	43
Eliezer	m	90
Elijah	m	620
Eli-James	m	28
Elimelech	m	47
Elio	m	239
Elior	m	22
Elios	m	17
Eliot	m	2106
Eliote	m	16
Elioth	m	32
Eliott	m	1894
Elise	m	12
Elisee	m	22
Eliseo	m	18
Elisha	m	37
Elix	m	25
Eliya	m	14
Eliyahou	m	13
Eliyahu	m	35
Elizabeth	m	15
Elli	m	11
Elliot	m	4476
Elliott	m	910
Ellis	m	49
Elly	m	21
Ellyot	m	26
El Mahdi	m	12
El Mehdi	m	51
Elmehdi	m	15
Elmer	m	16
Eloan	m	66
Elohan	m	15
Elohim	m	19
Eloi	m	2286
Eloic	m	215
Eloick	m	79
Eloik	m	179
Elois	m	21
Elon	m	11
Elouan	m	89
Elouann	m	12
Eloy	m	30
Elric	m	46
Elrick	m	33
