firstname	gender	cnt
Cassandra	f	3000
Cassandre	f	772
Cassendra	f	14
Cassey	f	19
Cassia	f	63
Cassidy	f	208
Cassie	f	178
Cassiopee	f	197
Cassy	f	100
Cataleya	f	105
Catalina	f	207
Catarina	f	49
Caterina	f	88
Caterine	f	17
Catharina	f	11
Catherina	f	64
Catherine	f	19943
Catherine Anne	f	12
Catheryne	f	68
Cathia	f	60
Cathie	f	118
Cathleen	f	29
Cathrine	f	53
Cathryn	f	24
Cathy	f	1381
Cathya	f	13
Catia	f	21
Catie	f	29
Catrina	f	28
Catrine	f	32
Catriona	f	14
Cattleya	f	17
Caty	f	38
Cayla	f	25
Cecelia	f	14
Cecile	f	166
Cecilia	f	319
Cedric	f	25
Cedrika	f	14
Celena	f	62
Celeste	f	694
Celestina	f	12
Celestine	f	76
Celia	f	575
Celiane	f	33
Celina	f	283
Celine	f	919
Celya	f	33
Celyna	f	15
Celyne	f	11
Cendrine	f	93
Cerine	f	85
Chada	f	13
Chadia	f	24
Chahd	f	79
Chahinez	f	28
Chaima	f	100
Chaimaa	f	55
Chaimae	f	41
Chama	f	23
Chams	f	11
Chana	f	253
Chance	f	16
Chandni	f	13
Chandra	f	14
Chanel	f	624
Chanele	f	22
Chanelle	f	388
Chanez	f	43
Chang	f	18
Chani	f	21
Chanie	f	42
Channel	f	30
Chantal	f	2094
Chantale	f	430
Chantel	f	17
Chantelle	f	31
Chany	f	84
Charity	f	28
Charlaine	f	78
Charlee	f	74
Charleen	f	15
Charlene	f	735
Charles	f	34
Charley	f	13
Charli	f	15
Charliane	f	23
Charlianne	f	21
Charlie	f	5765
Charlie Ann	f	18
Charlie-Ann	f	112
Charlie Anne	f	14
Charlie-Anne	f	68
Charlie-Maude	f	13
Charlie Rose	f	49
Charlie-Rose	f	348
Charline	f	394
Charlize	f	90
Charlotte	f	7629
Charly	f	173
Charly-Ann	f	19
Charlye	f	107
Charlyn	f	11
Charlyne	f	133
Charly-Rose	f	23
Charmaine	f	21
Chatelaine	f	11
Chava	f	69
Chavy	f	26
Chaya	f	275
Chaya Mushka	f	63
Chayma	f	40
Chaymaa	f	24
Chaymae	f	25
Chelsea	f	930
Chelsey	f	146
Chelsie	f	30
Chelsy	f	87
